,type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,cycle
37,charge,[2010.       7.      27.      23.      28.       8.828],4,B0047,37,38,00038.csv,,,,14
38,discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.3867662881727878,,,15
39,charge,[2010.       7.      28.       4.       0.      28.265],4,B0047,39,40,00040.csv,,,,15
40,discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.3705053061420225,,,16
41,charge,[2010.       7.      28.       8.      31.      35.609],4,B0047,41,42,00042.csv,,,,16
42,discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.34974311148236,,,17
43,charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0047,43,44,00044.csv,,,,17
44,discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.3251533367939785,,,18
45,impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0047,45,46,00046.csv,,0.06241051517902,0.2143932331877175,18
46,charge,[2010.       7.      28.      18.       7.      53.906],4,B0047,46,47,00047.csv,,,,18
47,impedance,[2010.       7.      28.      21.      13.      22.187],24,B0047,47,48,00048.csv,,0.0580894405960351,0.1866897040933544,18
48,discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.3111943869635805,,,19
49,charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0047,49,50,00050.csv,,,,19
50,discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0.0,,,20
51,charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0047,51,52,00052.csv,,,,20
52,discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.3394234405932892,,,21
53,charge,[2010.       7.      29.       7.      27.      57.484],4,B0047,53,54,00054.csv,,,,21
54,discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.2849157142560723,,,22
55,charge,[2010.       7.      29.      11.      56.      11.593],4,B0047,55,56,00056.csv,,,,22
56,discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159327807,,,23
57,impedance,[2010.      7.     29.     16.     27.     30.14],24,B0047,57,58,00058.csv,,0.065454460462172,0.2214535005516927,23
58,charge,[2010.       7.      29.      16.      59.      23.625],4,B0047,58,59,00059.csv,,,,23
59,impedance,[2010.       7.      29.      20.       4.      55.562],24,B0047,59,60,00060.csv,,0.0588935611351396,0.2028386183123608,23
60,discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.2600051642942829,,,24
61,charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0047,61,62,00062.csv,,,,24
62,discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070385993126,,,25
63,charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0047,63,64,00064.csv,,,,25
64,discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.2413590294280803,,,26
65,charge,[2010.       7.      30.       6.      54.      35.109],4,B0047,65,66,00066.csv,,,,26
66,discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.2298873703485311,,,27
67,charge,[2010.       7.      30.      11.      19.      35.093],4,B0047,67,68,00068.csv,,,,27
68,discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088614506696,,,28
69,impedance,[2010.       7.      30.      15.      48.      12.125],24,B0047,69,70,00070.csv,,0.0674369984544658,0.2318214627184461,28
70,charge,[2010    7   30   16   20    6],4,B0047,70,71,00071.csv,,,,28
71,impedance,[2010.       7.      30.      19.      25.      34.984],24,B0047,71,72,00072.csv,,0.0606574704180075,0.2139967817848608,28
72,discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.2139857189070042,,,29
73,charge,[2010.       7.      30.      21.      20.      14.843],4,B0047,73,74,00074.csv,,,,29
74,discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.2173435064564189,,,30
75,charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0047,75,76,00076.csv,,,,30
76,discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.2073445944515917,,,31
77,charge,[2010.       7.      31.       6.       7.       5.562],4,B0047,77,78,00078.csv,,,,31
78,discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.18804049227045,,,32
79,charge,[2010.       7.      31.      10.      29.      39.359],4,B0047,79,80,00080.csv,,,,32
80,discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.186304749886542,,,33
81,impedance,[2010.       7.      31.      14.      55.      48.421],24,B0047,81,82,00082.csv,,0.0701001536900913,0.2298779700752319,33
82,charge,[2010.       7.      31.      15.      27.      42.562],4,B0047,82,83,00083.csv,,,,33
83,impedance,[2010.       7.      31.      18.      33.      11.796],24,B0047,83,84,00084.csv,,0.0655071824171395,0.2035516081169149,33
84,discharge,[2010.       8.       3.      15.      52.      53.046],4,B0047,84,85,00085.csv,1.2613935471028506,,,34
85,impedance,[2010.       8.       3.      17.      20.      28.062],24,B0047,85,86,00086.csv,,0.0654750455838239,0.2369289548699854,34
86,charge,[2010.       8.       3.      17.      52.      22.375],4,B0047,86,87,00087.csv,,,,34
87,impedance,[2010.       8.       3.      20.      57.      49.484],24,B0047,87,88,00088.csv,,0.0640501828485657,0.2030937186647097,34
88,discharge,[2010.       8.       3.      21.      29.      43.953],4,B0047,88,89,00089.csv,1.2648246158850651,,,35
89,charge,[2010.       8.       3.      22.      54.      43.062],4,B0047,89,90,00090.csv,,,,35
90,discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0047,90,91,00091.csv,1.24664945489822,,,36
91,charge,[2010.      8.      4.      3.     19.     23.25],4,B0047,91,92,00092.csv,,,,36
92,discharge,[2010.       8.       4.       6.      20.      57.078],4,B0047,92,93,00093.csv,1.2333924152795082,,,37
93,charge,[2010.       8.       4.       7.      43.      19.828],4,B0047,93,94,00094.csv,,,,37
94,discharge,[2010.      8.      4.     10.     44.     49.39],4,B0047,94,95,00095.csv,1.2129250072037692,,,38
95,charge,[2010.       8.       4.      12.       6.      28.531],4,B0047,95,96,00096.csv,,,,38
96,discharge,[2010.       8.       4.      15.       7.      58.828],4,B0047,96,97,00097.csv,1.1999106597943647,,,39
97,impedance,[2010.       8.       4.      16.      32.      38.906],24,B0047,97,98,00098.csv,,0.0670982447403723,0.2303958167446359,39
98,charge,[2010.       8.       4.      17.       4.      33.625],4,B0047,98,99,00099.csv,,,,39
99,impedance,[2010.       8.       4.      20.      10.       4.812],24,B0047,99,100,00100.csv,,0.0658333505063299,0.2204415510699875,39
100,discharge,[2010.     8.     4.    20.    41.    59.5],4,B0047,100,101,00101.csv,1.1902559038393383,,,40
101,charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0047,101,102,00102.csv,,,,40
102,discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0047,102,103,00103.csv,1.1892563795455853,,,41
103,charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0047,103,104,00104.csv,,,,41
104,discharge,[2010.       8.       5.       5.      25.       7.906],4,B0047,104,105,00105.csv,1.167069685125939,,,42
105,charge,[2010.       8.       5.       6.      44.       4.281],4,B0047,105,106,00106.csv,,,,42
106,discharge,[2010.      8.      5.      9.     45.     36.39],4,B0047,106,107,00107.csv,1.1615348403090369,,,43
107,charge,[2010.       8.       5.      11.       4.      13.765],4,B0047,107,108,00108.csv,,,,43
108,discharge,[2010.       8.       5.      14.       5.      44.828],4,B0047,108,109,00109.csv,1.1555563844349988,,,44
109,impedance,[2010.       8.       5.      15.      27.      47.125],24,B0047,109,110,00110.csv,,0.0698210369377856,0.2478717650746093,44
110,charge,[2010.       8.       5.      15.      59.      42.062],4,B0047,110,111,00111.csv,,,,44
111,impedance,[2010.       8.       5.      19.       5.      13.171],24,B0047,111,112,00112.csv,,0.0687878090911825,0.2136033662022438,44
112,discharge,[2010.       8.       5.      19.      37.       8.125],4,B0047,112,113,00113.csv,1.1488524666097713,,,45
113,charge,[2010.       8.       5.      20.      54.      47.218],4,B0047,113,114,00114.csv,,,,45
114,discharge,[2010.       8.       5.      23.      56.      22.437],4,B0047,114,115,00115.csv,1.143572986788779,,,46
115,charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0047,115,116,00116.csv,,,,46
116,discharge,[2010.       8.       6.       4.      15.       3.234],4,B0047,116,117,00117.csv,1.1418015379428537,,,47
117,charge,[2010.       8.       6.       5.      31.      48.156],4,B0047,117,118,00118.csv,,,,47
118,discharge,[2010.      8.      6.      8.     33.     24.75],4,B0047,118,119,00119.csv,1.136058647502255,,,48
119,charge,[2010.       8.       6.       9.      49.      49.937],4,B0047,119,120,00120.csv,,,,48
120,discharge,[2010    8    6   12   51   21],4,B0047,120,121,00121.csv,1.1236364680969286,,,49
121,impedance,[2010.       8.       6.      14.      11.      12.234],24,B0047,121,122,00122.csv,,0.0711735801764843,0.236859829667432,49
122,charge,[2010.       8.       6.      14.      43.       7.578],4,B0047,122,123,00123.csv,,,,49
123,impedance,[2010.       8.       6.      17.      48.      41.937],24,B0047,123,124,00124.csv,,0.067042457422244,0.2239461958000678,49
124,discharge,[2010.       8.       6.      18.      20.      37.375],4,B0047,124,125,00125.csv,1.1320498900328944,,,50
125,charge,[2010.       8.       6.      19.      36.      20.187],4,B0047,125,126,00126.csv,,,,50
126,discharge,[2010.       8.       6.      22.      37.      51.968],4,B0047,126,127,00127.csv,1.117010176215815,,,51
127,charge,[2010.      8.      6.     23.     53.     10.89],4,B0047,127,128,00128.csv,,,,51
128,discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0047,128,129,00129.csv,1.120043039721982,,,52
129,charge,[2010.       8.       7.       4.       9.      31.812],4,B0047,129,130,00130.csv,,,,52
130,discharge,[2010.       8.       7.       7.      11.       8.671],4,B0047,130,131,00131.csv,1.1059773445917065,,,53
131,charge,[2010.       8.       7.       8.      25.      18.796],4,B0047,131,132,00132.csv,,,,53
132,discharge,[2010.       8.       7.      11.      26.      50.984],4,B0047,132,133,00133.csv,0.0,,,54
133,impedance,[2010.       8.       7.      12.      32.      26.234],24,B0047,133,134,00134.csv,,0.0702326096411188,0.2432324327186061,54
134,charge,[2010.       8.       7.      13.       4.      21.953],4,B0047,134,135,00135.csv,,,,54
135,impedance,[2010.      8.      7.     16.      9.     53.89],24,B0047,135,136,00136.csv,,0.067687003462409,0.2222905077928191,54
136,discharge,[2010.       8.      10.      15.      39.      28.921],4,B0047,136,137,00137.csv,1.1907902374762016,,,55
137,impedance,[2010.       8.      10.      17.       4.      18.343],24,B0047,137,138,00138.csv,,0.0716197799879309,0.2340372441129465,55
138,charge,[2010.       8.      10.      17.      36.      14.109],4,B0047,138,139,00139.csv,,,,55
139,impedance,[2010.       8.      10.      20.      41.      53.921],24,B0047,139,140,00140.csv,,0.0706810853533824,0.1952852162273827,55
140,discharge,[2010.      8.     10.     21.     13.     49.64],4,B0047,140,141,00141.csv,1.2012387088454022,,,56
141,charge,[2010.       8.      10.      22.      33.      31.875],4,B0047,141,142,00142.csv,,,,56
142,discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0047,142,143,00143.csv,1.1906909549024802,,,57
143,charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0047,143,144,00144.csv,,,,57
144,discharge,[2010.       8.      11.       5.      54.      59.281],4,B0047,144,145,00145.csv,1.1764375730308343,,,58
145,charge,[2010.       8.      11.       7.      12.      27.125],4,B0047,145,146,00146.csv,,,,58
146,discharge,[2010.       8.      11.      10.      14.       4.421],4,B0047,146,147,00147.csv,1.1628110372792353,,,59
147,charge,[2010.       8.      11.      11.      31.      14.703],4,B0047,147,148,00148.csv,,,,59
148,discharge,[2010.       8.      11.      14.      32.      46.656],4,B0047,148,149,00149.csv,1.1516152840582583,,,60
149,impedance,[2010.     8.    11.    15.    53.    17.5],24,B0047,149,150,00150.csv,,0.0750956100467301,0.2385800609634128,60
150,charge,[2010.       8.      11.      16.      25.      13.593],4,B0047,150,151,00151.csv,,,,60
151,impedance,[2010.       8.      11.      19.      30.      44.109],24,B0047,151,152,00152.csv,,0.0721616439691655,0.2134680518392546,60
152,discharge,[2010.       8.      12.      12.      34.      22.109],4,B0047,152,153,00153.csv,1.1583673498348623,,,61
153,impedance,[2010    8   12   13   55   19],24,B0047,153,154,00154.csv,,0.0744699239483102,0.2288137104158401,61
154,charge,[2010.      8.     12.     14.     27.     15.14],4,B0047,154,155,00155.csv,,,,61
155,impedance,[2010.       8.      12.      17.      32.      50.875],24,B0047,155,156,00156.csv,,0.0720657836981216,0.216996572598658,61
156,discharge,[2010.       8.      12.      18.       4.      47.218],4,B0047,156,157,00157.csv,1.1692285288386206,,,62
157,charge,[2010.       8.      12.      19.      22.      39.406],4,B0047,157,158,00158.csv,,,,62
158,discharge,[2010.       8.      12.      22.      24.      12.484],4,B0047,158,159,00159.csv,1.1588148476218465,,,63
159,charge,[2010.       8.      12.      23.      40.      56.125],4,B0047,159,160,00160.csv,,,,63
160,discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0047,160,161,00161.csv,1.1439588147705455,,,64
161,charge,[2010.       8.      13.       3.      58.       7.187],4,B0047,161,162,00162.csv,,,,64
162,discharge,[2010.       8.      13.       6.      59.      39.343],4,B0047,162,163,00163.csv,1.1383941068159398,,,65
163,charge,[2010.       8.      13.       8.      14.      54.843],4,B0047,163,164,00164.csv,,,,65
164,discharge,[2010.       8.      13.      11.      16.      29.328],4,B0047,164,165,00165.csv,0.0,,,66
165,impedance,[2010.       8.      13.      11.      55.      20.859],24,B0047,165,166,00166.csv,,0.0758815557984306,0.2171697337937444,66
166,charge,[2010.       8.      13.      12.      27.      18.593],4,B0047,166,167,00167.csv,,,,66
167,impedance,[2010.       8.      13.      15.      32.      55.359],24,B0047,167,168,00168.csv,,0.07280052727114,0.2167410015359882,66
168,discharge,[2010.       8.      16.      10.      57.       7.937],4,B0047,168,169,00169.csv,1.2213102850395667,,,67
169,impedance,[2010.       8.      16.      12.      24.      17.453],24,B0047,169,170,00170.csv,,0.072277377144606,0.237074828149039,67
170,charge,[2010.       8.      16.      12.      56.      14.546],4,B0047,170,171,00171.csv,,,,67
171,impedance,[2.0100e+03 8.0000e+00 1.6000e+01 1.6000e+01 1.0000e+00 5.2046e+01],24,B0047,171,172,00172.csv,,0.0727832837778209,0.2152059866676978,67
172,discharge,[2010.       8.      16.      16.      33.      48.968],4,B0047,172,173,00173.csv,1.2031062978889062,,,68
173,charge,[2010.       8.      16.      17.      53.      19.203],4,B0047,173,174,00174.csv,,,,68
174,discharge,[2010.       8.      16.      20.      54.      56.609],4,B0047,174,175,00175.csv,1.1897147112197684,,,69
175,charge,[2010.       8.      16.      22.      13.       2.812],4,B0047,175,176,00176.csv,,,,69
176,discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0047,176,177,00177.csv,1.177422568842014,,,70
177,charge,[2010    8   17    2   32   20],4,B0047,177,178,00178.csv,,,,70
178,discharge,[2010.       8.      17.       5.      33.      53.718],4,B0047,178,179,00179.csv,1.158443027293818,,,71
179,charge,[2010.       8.      17.       6.      50.      25.203],4,B0047,179,180,00180.csv,,,,71
180,discharge,[2010.       8.      17.       9.      52.       5.375],4,B0047,180,181,00181.csv,1.1567087516841796,,,72
181,impedance,[2.010e+03 8.000e+00 1.700e+01 1.100e+01 1.200e+01 1.125e+00],24,B0047,181,182,00182.csv,,0.0743636023926656,0.2340863184447017,72
182,charge,[2010.       8.      17.      11.      43.      58.265],4,B0047,182,183,00183.csv,,,,72
183,impedance,[2010.       8.      17.      14.      49.      38.671],24,B0047,183,184,00184.csv,,0.0730046997209305,0.2217136663529148,72
184,discharge,[2010.       7.      21.      15.       0.      35.093],4,B0045,0,185,00185.csv,1.0819793880779518,,,73
185,impedance,[2010.       7.      21.      16.      53.      45.968],24,B0045,1,186,00186.csv,,0.0726283309114013,0.2456528800380537,73
186,charge,[2010.       7.      21.      17.      25.      40.671],4,B0045,2,187,00187.csv,,,,73
187,impedance,[2010    7   21   20   31    5],24,B0045,3,188,00188.csv,,0.065086717668146,0.2144103420624745,73
188,discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0045,4,189,00189.csv,0.927952404748273,,,74
189,charge,[2010.       7.      21.      22.      38.      43.484],4,B0045,5,190,00190.csv,,,,74
190,discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0045,6,191,00191.csv,0.885193608411576,,,75
191,charge,[2010.       7.      22.       3.      14.      53.218],4,B0045,7,192,00192.csv,,,,75
192,discharge,[2010.       7.      22.       6.      16.      21.781],4,B0045,8,193,00193.csv,0.8581010699478283,,,76
193,charge,[2010.       7.      22.       7.      50.      21.625],4,B0045,9,194,00194.csv,,,,76
194,discharge,[2010.       7.      22.      10.      51.      48.203],4,B0045,10,195,00195.csv,0.8409352213456689,,,77
195,charge,[2010.       7.      22.      12.      25.       3.656],4,B0045,11,196,00196.csv,,,,77
196,discharge,[2010.       7.      22.      15.      26.      29.359],4,B0045,12,197,00197.csv,0.8245471942901911,,,78
197,impedance,[2010.       7.      22.      17.       3.       7.062],24,B0045,13,198,00198.csv,,0.0715678008449157,0.2291740966485048,78
198,charge,[2010.       7.      22.      17.      34.      59.312],4,B0045,14,199,00199.csv,,,,78
199,impedance,[2010.     7.    22.    20.    40.    25.5],24,B0045,15,200,00200.csv,,0.0649676213639743,0.2113722499969527,78
200,discharge,[2010.       7.      23.       9.      59.       8.718],4,B0045,16,201,00201.csv,0.7935960418803983,,,79
201,impedance,[2010.       7.      23.      11.      35.      36.875],24,B0045,17,202,00202.csv,,0.070859051106216,0.225367827470576,79
202,charge,[2010.      7.     23.     12.      7.     29.25],4,B0045,18,203,00203.csv,,,,79
203,impedance,[2010.       7.      23.      15.      12.      59.218],24,B0045,19,204,00204.csv,,0.065834534585151,0.2248199871981467,79
204,discharge,[2010.       7.      23.      15.      44.      51.671],4,B0045,20,205,00205.csv,0.8183676087159205,,,80
205,charge,[2010.       7.      23.      17.      17.      36.625],4,B0045,21,206,00206.csv,,,,80
206,discharge,[2010.       7.      23.      20.      19.       2.359],4,B0045,22,207,00207.csv,0.7977644276409412,,,81
207,charge,[2010.       7.      23.      21.      50.      50.578],4,B0045,23,208,00208.csv,,,,81
208,discharge,[2010.       7.      24.       0.      52.      14.625],4,B0045,24,209,00209.csv,0.7993777411831636,,,82
209,charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0045,25,210,00210.csv,,,,82
210,discharge,[2010.       7.      24.       5.      24.      46.453],4,B0045,26,211,00211.csv,0.7783107440628891,,,83
211,charge,[2010.       7.      24.       6.      55.      11.046],4,B0045,27,212,00212.csv,,,,83
212,discharge,[2010    7   24    9   56   39],4,B0045,28,213,00213.csv,0.7803738231239117,,,84
213,impedance,[2010.       7.      24.      11.      30.      35.656],24,B0045,29,214,00214.csv,,0.0727161166535298,0.2372893249261043,84
214,charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0045,30,215,00215.csv,,,,84
215,impedance,[2010.       7.      24.      15.       7.      54.015],24,B0045,31,216,00216.csv,,0.0663305435341286,0.226688422968848,84
216,discharge,[2010.       7.      27.      16.      12.       5.718],4,B0045,32,217,00217.csv,0.7713058245640294,,,85
217,impedance,[2010.     7.    27.    17.    47.    10.5],24,B0045,33,218,00218.csv,,0.0737939171143506,0.234028051491713,85
218,charge,[2010.       7.      27.      18.      19.       3.281],4,B0045,34,219,00219.csv,,,,85
219,impedance,[2010.       7.      27.      21.      24.      31.406],24,B0045,35,220,00220.csv,,0.0662571640532643,0.20403871987566,85
220,discharge,[2010.       7.      27.      21.      56.      24.312],4,B0045,36,221,00221.csv,0.795279016979026,,,86
221,charge,[2010.       7.      27.      23.      28.       8.828],4,B0045,37,222,00222.csv,,,,86
222,discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0045,38,223,00223.csv,0.7824128169919247,,,87
223,charge,[2010.       7.      28.       4.       0.      28.265],4,B0045,39,224,00224.csv,,,,87
224,discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0045,40,225,00225.csv,0.7649414992231182,,,88
225,charge,[2010.       7.      28.       8.      31.      35.609],4,B0045,41,226,00226.csv,,,,88
226,discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0045,42,227,00227.csv,0.7544899426779375,,,89
227,charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0045,43,228,00228.csv,,,,89
228,discharge,[2010.       7.      28.      16.       3.      39.015],4,B0045,44,229,00229.csv,0.7504048978314295,,,90
229,impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0045,45,230,00230.csv,,0.0740708544033771,0.2471243345321351,90
230,charge,[2010.       7.      28.      18.       7.      53.906],4,B0045,46,231,00231.csv,,,,90
231,impedance,[2010.       7.      28.      21.      13.      22.187],24,B0045,47,232,00232.csv,,0.0677762743960447,0.2253467282921095,90
232,discharge,[2010.     7.    28.    21.    45.    15.5],4,B0045,48,233,00233.csv,0.7407258109620256,,,91
233,charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0045,49,234,00234.csv,,,,91
234,discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0045,50,235,00235.csv,0.0,,,92
235,charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0045,51,236,00236.csv,,,,92
236,discharge,[2010.       7.      29.       5.      57.      18.515],4,B0045,52,237,00237.csv,0.7308525593793626,,,93
237,charge,[2010.       7.      29.       7.      27.      57.484],4,B0045,53,238,00238.csv,,,,93
238,discharge,[2010.       7.      29.      10.      29.      29.765],4,B0045,54,239,00239.csv,0.7287255851177903,,,94
